#ies_format_version: 1.0
#file: 20250801_3000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 3.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	device-1_A_31;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	device-2_B_32;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
YYYYMMDD;	hhmmss;	unixtimestamp;	device-1_A_31;	device-2_B_32
20250801;	160415;	1754044455.000;	           5;	     1
20250801;	160418;	1754044458.000;	           5;	     1
20250801;	160421;	1754044461.000;	           5;	     1
20250801;	160424;	1754044464.000;	           5;	     1
20250801;	160427;	1754044467.000;	           5;	     1
20250801;	160430;	1754044470.000;	           5;	     1
20250801;	160433;	1754044473.000;	           5;	     1
20250801;	160436;	1754044476.000;	           5;	     1
20250801;	160439;	1754044479.000;	           5;	     1
20250801;	160442;	1754044482.000;	           5;	     1
20250801;	160445;	1754044485.000;	           5;	     1
20250801;	160448;	1754044488.000;	           5;	     1
20250801;	160451;	1754044491.000;	           5;	     1
20250801;	160454;	1754044494.000;	           5;	     1
20250801;	160457;	1754044497.000;	           5;	     1
20250801;	160500;	1754044500.000;	           5;	     1
20250801;	160503;	1754044503.000;	           5;	     1
20250801;	160506;	1754044506.000;	           5;	     1
20250801;	160509;	1754044509.000;	           5;	     1
