#ies_format_version: 1.0
#file: 20250801_1000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 1.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	device_A_31;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	device_A_31
20250801;	162959;	1754045999.000;	           9
20250801;	163000;	1754046000.000;	           9
20250801;	163001;	1754046001.000;	           9
20250801;	163002;	1754046002.000;	           9
20250801;	163003;	1754046003.000;	           9
20250801;	163004;	1754046004.000;	           9
20250801;	163005;	1754046005.000;	           9
20250801;	163006;	1754046006.000;	           9
20250801;	163007;	1754046007.000;	           9
20250801;	163008;	1754046008.000;	           9
20250801;	163009;	1754046009.000;	           9
20250801;	163010;	1754046010.000;	           9
20250801;	163011;	1754046011.000;	           9
20250801;	163012;	1754046012.000;	           9
20250801;	163013;	1754046013.000;	           9
20250801;	163014;	1754046014.000;	           9
20250801;	163015;	1754046015.000;	           9
20250801;	163016;	1754046016.000;	           9
20250801;	163017;	1754046017.000;	           9
20250801;	163018;	1754046018.000;	           9
20250801;	163019;	1754046019.000;	           9
20250801;	163020;	1754046020.000;	           9
20250801;	163021;	1754046021.000;	           9
20250801;	163022;	1754046022.000;	           9
20250801;	163023;	1754046023.000;	           9
20250801;	163024;	1754046024.000;	           9
20250801;	163025;	1754046025.000;	           9
20250801;	163026;	1754046026.000;	           9
20250801;	163027;	1754046027.000;	           9
20250801;	163028;	1754046028.000;	           9
20250801;	163029;	1754046029.000;	           9
20250801;	163030;	1754046030.000;	           9
20250801;	163031;	1754046031.000;	           9
20250801;	163032;	1754046032.000;	           9
20250801;	163033;	1754046033.000;	           9
20250801;	163034;	1754046034.000;	           9
20250801;	163035;	1754046035.000;	           9
20250801;	163036;	1754046036.000;	           9
20250801;	163037;	1754046037.000;	           9
20250801;	163038;	1754046038.000;	           9
20250801;	163039;	1754046039.000;	           9
20250801;	163040;	1754046040.000;	           9
20250801;	163041;	1754046041.000;	           9
20250801;	163042;	1754046042.000;	           9
20250801;	163043;	1754046043.000;	           9
20250801;	163044;	1754046044.000;	           9
20250801;	163045;	1754046045.000;	           9
20250801;	163046;	1754046046.000;	           9
20250801;	163047;	1754046047.000;	           9
20250801;	163048;	1754046048.000;	           9
20250801;	163049;	1754046049.000;	           9
20250801;	163050;	1754046050.000;	           9
20250801;	163051;	1754046051.000;	           9
20250801;	163052;	1754046052.000;	           9
20250801;	163053;	1754046053.000;	           9
20250801;	163054;	1754046054.000;	           9
20250801;	163055;	1754046055.000;	           9
20250801;	163056;	1754046056.000;	           9
20250801;	163057;	1754046057.000;	           9
20250801;	163058;	1754046058.000;	           9
20250801;	163059;	1754046059.000;	           9
20250801;	163100;	1754046060.000;	           9
20250801;	163101;	1754046061.000;	           9
20250801;	163102;	1754046062.000;	           9
20250801;	163103;	1754046063.000;	           9
20250801;	163104;	1754046064.000;	           9
20250801;	163105;	1754046065.000;	           9
20250801;	163106;	1754046066.000;	           9
20250801;	163107;	1754046067.000;	           9
20250801;	163108;	1754046068.000;	           9
20250801;	163109;	1754046069.000;	           9
20250801;	163110;	1754046070.000;	           9
20250801;	163111;	1754046071.000;	           9
20250801;	163112;	1754046072.000;	           9
20250801;	163113;	1754046073.000;	           9
20250801;	163114;	1754046074.000;	           9
20250801;	163115;	1754046075.000;	           9
20250801;	163116;	1754046076.000;	           9
20250801;	163117;	1754046077.000;	           9
20250801;	163118;	1754046078.000;	           9
20250801;	163119;	1754046079.000;	           9
20250801;	163120;	1754046080.000;	           9
20250801;	163121;	1754046081.000;	           9
20250801;	163122;	1754046082.000;	           9
20250801;	163123;	1754046083.000;	           9
20250801;	163124;	1754046084.000;	           9
20250801;	163125;	1754046085.000;	           9
20250801;	163126;	1754046086.000;	           9
20250801;	163127;	1754046087.000;	           9
