#ies_format_version: 1.0
#file: 20250721_1000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 1.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	mdevice1_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	mdevice1_A_18
20250721;	124910;	1753082350.000;	       err11
20250721;	124911;	1753082351.000;	       err11
20250721;	124912;	1753082352.000;	       err11
20250721;	124913;	1753082353.000;	       err11
20250721;	124914;	1753082354.000;	       err11
20250721;	124915;	1753082355.000;	       err11
20250721;	124916;	1753082356.000;	       err11
20250721;	124917;	1753082357.000;	       err11
20250721;	124918;	1753082358.000;	       err11
20250721;	124919;	1753082359.000;	       err11
20250721;	124920;	1753082360.000;	       err11
20250721;	124921;	1753082361.000;	       err11
20250721;	124922;	1753082362.000;	       err11
20250721;	124923;	1753082363.000;	       err11
20250721;	124924;	1753082364.000;	       err11
20250721;	124925;	1753082365.000;	       err11
20250721;	124926;	1753082366.000;	       err11
20250721;	124927;	1753082367.000;	       err11
20250721;	124928;	1753082368.000;	       err11
20250721;	124929;	1753082369.000;	       err11
20250721;	124930;	1753082370.000;	       err11
20250721;	124931;	1753082371.000;	       err11
20250721;	124932;	1753082372.000;	       err11
20250721;	124933;	1753082373.000;	       err11
20250721;	124934;	1753082374.000;	       err11
20250721;	124935;	1753082375.000;	       err11
20250721;	124936;	1753082376.000;	       err11
20250721;	124937;	1753082377.000;	       err11
20250721;	124938;	1753082378.000;	       err11
20250721;	124939;	1753082379.000;	       err11
20250721;	124940;	1753082380.000;	       err11
20250721;	124941;	1753082381.000;	       err11
