#ies_format_version: 1.0
#file: 20250729_3000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 3.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	device-1_A_31;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#005;	device-2_B_32;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
YYYYMMDD;	hhmmss;	unixtimestamp;	device-1_A_31;	device-2_B_32
20250729;	193806;	1753798086.000;	     1;	     1
20250729;	193809;	1753798089.000;	     1;	     1
20250729;	193812;	1753798092.000;	     1;	     1
20250729;	193815;	1753798095.000;	     1;	     1
20250729;	193818;	1753798098.000;	     1;	     1
20250729;	193821;	1753798101.000;	     1;	     1
20250729;	193824;	1753798104.000;	     1;	     1
20250729;	193827;	1753798107.000;	     1;	     1
20250729;	193830;	1753798110.000;	     1;	     1
20250729;	193833;	1753798113.000;	     1;	     1
20250729;	193836;	1753798116.000;	     1;	     1
20250729;	193839;	1753798119.000;	     1;	     1
20250729;	193842;	1753798122.000;	     1;	     1
20250729;	193845;	1753798125.000;	     1;	     1
20250729;	193848;	1753798128.000;	     1;	     1
20250729;	193851;	1753798131.000;	     1;	     1
20250729;	193854;	1753798134.000;	     1;	     1
20250729;	193857;	1753798137.000;	     1;	     1
20250729;	193900;	1753798140.000;	     1;	     1
20250729;	193903;	1753798143.000;	     1;	     1
20250729;	193906;	1753798146.000;	     1;	     1
20250729;	193909;	1753798149.000;	     1;	     1
20250729;	193912;	1753798152.000;	     1;	     1
20250729;	193915;	1753798155.000;	     1;	     1
20250729;	193918;	1753798158.000;	     1;	     1
20250729;	193921;	1753798161.000;	     1;	     1
20250729;	193924;	1753798164.000;	     1;	     1
20250729;	193927;	1753798167.000;	     1;	     1
20250729;	193930;	1753798170.000;	     1;	     1
20250729;	193933;	1753798173.000;	     1;	     1
20250729;	193936;	1753798176.000;	     1;	     1
20250729;	193939;	1753798179.000;	     1;	     1
20250729;	193942;	1753798182.000;	     1;	     1
20250729;	193945;	1753798185.000;	     1;	     1
20250729;	193948;	1753798188.000;	     1;	     1
20250729;	193951;	1753798191.000;	     1;	     1
20250729;	193954;	1753798194.000;	     1;	     1
20250729;	193957;	1753798197.000;	 err32;	 err32
20250729;	194000;	1753798200.000;	 err32;	 err32
20250729;	194003;	1753798203.000;	 err32;	 err32
20250729;	194006;	1753798206.000;	 err32;	 err32
20250729;	194009;	1753798209.000;	 err32;	 err32
20250729;	194012;	1753798212.000;	 err32;	 err32
20250729;	194015;	1753798215.000;	 err32;	 err32
20250729;	194018;	1753798218.000;	 err32;	 err32
20250729;	194021;	1753798221.000;	 err32;	 err32
20250729;	194024;	1753798224.000;	 err32;	 err32
20250729;	194027;	1753798227.000;	 err32;	 err32
20250729;	194030;	1753798230.000;	 err32;	 err32
20250729;	194033;	1753798233.000;	 err32;	 err32
20250729;	194036;	1753798236.000;	 err32;	 err32
20250729;	194039;	1753798239.000;	 err32;	 err32
20250729;	194042;	1753798242.000;	 err32;	 err32
20250729;	194045;	1753798245.000;	 err32;	 err32
20250729;	194048;	1753798248.000;	 err32;	 err32
20250729;	194051;	1753798251.000;	 err32;	 err32
20250729;	194054;	1753798254.000;	 err32;	 err32
20250729;	194057;	1753798257.000;	 err32;	 err32
20250729;	194100;	1753798260.000;	 err32;	 err32
20250729;	194103;	1753798263.000;	 err32;	 err32
20250729;	194106;	1753798266.000;	 err32;	 err32
20250729;	194109;	1753798269.000;	 err32;	 err32
20250729;	194112;	1753798272.000;	 err32;	 err32
20250729;	194115;	1753798275.000;	 err32;	 err32
20250729;	194118;	1753798278.000;	 err32;	 err32
20250729;	194121;	1753798281.000;	 err32;	 err32
20250729;	194124;	1753798284.000;	 err32;	 err32
20250729;	194127;	1753798287.000;	 err32;	 err32
20250729;	194130;	1753798290.000;	 err32;	 err32
20250729;	194133;	1753798293.000;	 err32;	 err32
